type,crm,local_id,uri
object,E22_Human-Made_Object,gnd-10155854-5,https://hwgw.uzh.ch/built_work/gnd-10155854-5
object,E22_Human-Made_Object,gnd-1028059981,https://hwgw.uzh.ch/artwork/gnd-1028059981
object,E22_Human-Made_Object,gnd-1029513910,https://hwgw.uzh.ch/built_work/gnd-1029513910
object,E22_Human-Made_Object,gnd-1031493409,https://hwgw.uzh.ch/artwork/gnd-1031493409
object,E22_Human-Made_Object,gnd-1037316835,https://hwgw.uzh.ch/artwork/gnd-1037316835
object,E22_Human-Made_Object,gnd-1037317033,https://hwgw.uzh.ch/artwork/gnd-1037317033
object,E22_Human-Made_Object,gnd-1042179018,https://hwgw.uzh.ch/artwork/gnd-1042179018
object,E22_Human-Made_Object,gnd-1044618892,https://hwgw.uzh.ch/built_work/gnd-1044618892
object,E22_Human-Made_Object,gnd-1047134365,https://hwgw.uzh.ch/built_work/gnd-1047134365
object,E22_Human-Made_Object,gnd-1049518551,https://hwgw.uzh.ch/artwork/gnd-1049518551
object,E22_Human-Made_Object,gnd-105067443X,https://hwgw.uzh.ch/artwork/gnd-105067443X
object,E22_Human-Made_Object,gnd-1060357127,https://hwgw.uzh.ch/artwork/gnd-1060357127
object,E22_Human-Made_Object,gnd-1060357178,https://hwgw.uzh.ch/artwork/gnd-1060357178
object,E22_Human-Made_Object,gnd-1060357399,https://hwgw.uzh.ch/artwork/gnd-1060357399
object,E22_Human-Made_Object,gnd-1060466341,https://hwgw.uzh.ch/artwork/gnd-1060466341
object,E22_Human-Made_Object,gnd-1060466538,https://hwgw.uzh.ch/artwork/gnd-1060466538
object,E22_Human-Made_Object,gnd-1060466643,https://hwgw.uzh.ch/artwork/gnd-1060466643
object,E22_Human-Made_Object,gnd-1060466848,https://hwgw.uzh.ch/artwork/gnd-1060466848
object,E22_Human-Made_Object,gnd-1060468158,https://hwgw.uzh.ch/artwork/gnd-1060468158
object,E22_Human-Made_Object,gnd-1060468263,https://hwgw.uzh.ch/artwork/gnd-1060468263
object,E22_Human-Made_Object,gnd-1060469081,https://hwgw.uzh.ch/artwork/gnd-1060469081
object,E22_Human-Made_Object,gnd-1060469472,https://hwgw.uzh.ch/artwork/gnd-1060469472
object,E22_Human-Made_Object,gnd-106047011X,https://hwgw.uzh.ch/artwork/gnd-106047011X
object,E22_Human-Made_Object,gnd-1060470365,https://hwgw.uzh.ch/artwork/gnd-1060470365
object,E22_Human-Made_Object,gnd-1060471051,https://hwgw.uzh.ch/artwork/gnd-1060471051
object,E22_Human-Made_Object,gnd-1060471507,https://hwgw.uzh.ch/artwork/gnd-1060471507
object,E22_Human-Made_Object,gnd-1060472252,https://hwgw.uzh.ch/artwork/gnd-1060472252
object,E22_Human-Made_Object,gnd-1060472511,https://hwgw.uzh.ch/artwork/gnd-1060472511
object,E22_Human-Made_Object,gnd-1060473062,https://hwgw.uzh.ch/artwork/gnd-1060473062
object,E22_Human-Made_Object,gnd-1060475022,https://hwgw.uzh.ch/artwork/gnd-1060475022
object,E22_Human-Made_Object,gnd-1060475073,https://hwgw.uzh.ch/artwork/gnd-1060475073
object,E22_Human-Made_Object,gnd-1060475146,https://hwgw.uzh.ch/artwork/gnd-1060475146
object,E22_Human-Made_Object,gnd-1060475898,https://hwgw.uzh.ch/artwork/gnd-1060475898
object,E22_Human-Made_Object,gnd-1061002284,https://hwgw.uzh.ch/artwork/gnd-1061002284
object,E22_Human-Made_Object,gnd-1061002918,https://hwgw.uzh.ch/artwork/gnd-1061002918
object,E22_Human-Made_Object,gnd-1061015572,https://hwgw.uzh.ch/artwork/gnd-1061015572
object,E22_Human-Made_Object,gnd-1062529839,https://hwgw.uzh.ch/artwork/gnd-1062529839
object,E22_Human-Made_Object,gnd-1062530403,https://hwgw.uzh.ch/artwork/gnd-1062530403
object,E22_Human-Made_Object,gnd-106253087X,https://hwgw.uzh.ch/artwork/gnd-106253087X
object,E22_Human-Made_Object,gnd-1062531159,https://hwgw.uzh.ch/artwork/gnd-1062531159
object,E22_Human-Made_Object,gnd-1062531442,https://hwgw.uzh.ch/artwork/gnd-1062531442
object,E22_Human-Made_Object,gnd-1062531779,https://hwgw.uzh.ch/artwork/gnd-1062531779
object,E22_Human-Made_Object,gnd-106253204X,https://hwgw.uzh.ch/artwork/gnd-106253204X
object,E22_Human-Made_Object,gnd-1062688635,https://hwgw.uzh.ch/artwork/gnd-1062688635
object,E22_Human-Made_Object,gnd-106268902X,https://hwgw.uzh.ch/artwork/gnd-106268902X
object,E22_Human-Made_Object,gnd-1062689399,https://hwgw.uzh.ch/artwork/gnd-1062689399
object,E22_Human-Made_Object,gnd-1062689569,https://hwgw.uzh.ch/artwork/gnd-1062689569
object,E22_Human-Made_Object,gnd-1062690141,https://hwgw.uzh.ch/artwork/gnd-1062690141
object,E22_Human-Made_Object,gnd-1062824458,https://hwgw.uzh.ch/artwork/gnd-1062824458
object,E22_Human-Made_Object,gnd-106282461X,https://hwgw.uzh.ch/artwork/gnd-106282461X
object,E22_Human-Made_Object,gnd-1062824660,https://hwgw.uzh.ch/artwork/gnd-1062824660
object,E22_Human-Made_Object,gnd-1062824741,https://hwgw.uzh.ch/artwork/gnd-1062824741
object,E22_Human-Made_Object,gnd-1062824768,https://hwgw.uzh.ch/artwork/gnd-1062824768
object,E22_Human-Made_Object,gnd-1062824792,https://hwgw.uzh.ch/artwork/gnd-1062824792
object,E22_Human-Made_Object,gnd-1062824865,https://hwgw.uzh.ch/artwork/gnd-1062824865
object,E22_Human-Made_Object,gnd-106282489X,https://hwgw.uzh.ch/artwork/gnd-106282489X
object,E22_Human-Made_Object,gnd-1062825012,https://hwgw.uzh.ch/artwork/gnd-1062825012
object,E22_Human-Made_Object,gnd-1062825047,https://hwgw.uzh.ch/artwork/gnd-1062825047
object,E22_Human-Made_Object,gnd-106282508X,https://hwgw.uzh.ch/artwork/gnd-106282508X
object,E22_Human-Made_Object,gnd-1062825144,https://hwgw.uzh.ch/artwork/gnd-1062825144
object,E22_Human-Made_Object,gnd-1062825195,https://hwgw.uzh.ch/artwork/gnd-1062825195
object,E22_Human-Made_Object,gnd-1062825209,https://hwgw.uzh.ch/artwork/gnd-1062825209
object,E22_Human-Made_Object,gnd-1062825284,https://hwgw.uzh.ch/artwork/gnd-1062825284
object,E22_Human-Made_Object,gnd-1062919858,https://hwgw.uzh.ch/artwork/gnd-1062919858
object,E22_Human-Made_Object,gnd-1062920252,https://hwgw.uzh.ch/artwork/gnd-1062920252
object,E22_Human-Made_Object,gnd-1062922530,https://hwgw.uzh.ch/artwork/gnd-1062922530
object,E22_Human-Made_Object,gnd-1062925165,https://hwgw.uzh.ch/artwork/gnd-1062925165
object,E22_Human-Made_Object,gnd-1062926188,https://hwgw.uzh.ch/artwork/gnd-1062926188
object,E22_Human-Made_Object,gnd-1062926420,https://hwgw.uzh.ch/artwork/gnd-1062926420
object,E22_Human-Made_Object,gnd-1062939336,https://hwgw.uzh.ch/artwork/gnd-1062939336
object,E22_Human-Made_Object,gnd-1062940067,https://hwgw.uzh.ch/artwork/gnd-1062940067
object,E22_Human-Made_Object,gnd-1062940415,https://hwgw.uzh.ch/artwork/gnd-1062940415
object,E22_Human-Made_Object,gnd-1062940806,https://hwgw.uzh.ch/artwork/gnd-1062940806
object,E22_Human-Made_Object,gnd-1064027938,https://hwgw.uzh.ch/artwork/gnd-1064027938
object,E22_Human-Made_Object,gnd-1064967736,https://hwgw.uzh.ch/artwork/gnd-1064967736
object,E22_Human-Made_Object,gnd-1064969283,https://hwgw.uzh.ch/artwork/gnd-1064969283
object,E22_Human-Made_Object,gnd-1064969852,https://hwgw.uzh.ch/artwork/gnd-1064969852
object,E22_Human-Made_Object,gnd-1064970648,https://hwgw.uzh.ch/artwork/gnd-1064970648
object,E22_Human-Made_Object,gnd-1064971040,https://hwgw.uzh.ch/artwork/gnd-1064971040
object,E22_Human-Made_Object,gnd-1064971407,https://hwgw.uzh.ch/artwork/gnd-1064971407
object,E22_Human-Made_Object,gnd-1064971563,https://hwgw.uzh.ch/artwork/gnd-1064971563
object,E22_Human-Made_Object,gnd-1065197527,https://hwgw.uzh.ch/artwork/gnd-1065197527
object,E22_Human-Made_Object,gnd-1065198086,https://hwgw.uzh.ch/artwork/gnd-1065198086
object,E22_Human-Made_Object,gnd-1065199309,https://hwgw.uzh.ch/artwork/gnd-1065199309
object,E22_Human-Made_Object,gnd-1065777485,https://hwgw.uzh.ch/artwork/gnd-1065777485
object,E22_Human-Made_Object,gnd-1065778007,https://hwgw.uzh.ch/artwork/gnd-1065778007
object,E22_Human-Made_Object,gnd-1065779348,https://hwgw.uzh.ch/artwork/gnd-1065779348
object,E22_Human-Made_Object,gnd-1065779674,https://hwgw.uzh.ch/artwork/gnd-1065779674
object,E22_Human-Made_Object,gnd-1065781229,https://hwgw.uzh.ch/artwork/gnd-1065781229
object,E22_Human-Made_Object,gnd-1065785283,https://hwgw.uzh.ch/artwork/gnd-1065785283
object,E22_Human-Made_Object,gnd-1066603138,https://hwgw.uzh.ch/artwork/gnd-1066603138
object,E22_Human-Made_Object,gnd-1066603782,https://hwgw.uzh.ch/artwork/gnd-1066603782
object,E22_Human-Made_Object,gnd-1066604665,https://hwgw.uzh.ch/artwork/gnd-1066604665
object,E22_Human-Made_Object,gnd-1066607567,https://hwgw.uzh.ch/artwork/gnd-1066607567
object,E22_Human-Made_Object,gnd-1066704600,https://hwgw.uzh.ch/artwork/gnd-1066704600
object,E22_Human-Made_Object,gnd-1066706085,https://hwgw.uzh.ch/artwork/gnd-1066706085
object,E22_Human-Made_Object,gnd-1066786372,https://hwgw.uzh.ch/artwork/gnd-1066786372
object,E22_Human-Made_Object,gnd-1066788308,https://hwgw.uzh.ch/artwork/gnd-1066788308
object,E22_Human-Made_Object,gnd-1066804672,https://hwgw.uzh.ch/artwork/gnd-1066804672
object,E22_Human-Made_Object,gnd-106712179X,https://hwgw.uzh.ch/artwork/gnd-106712179X
object,E22_Human-Made_Object,gnd-1067199284,https://hwgw.uzh.ch/artwork/gnd-1067199284
object,E22_Human-Made_Object,gnd-1067208666,https://hwgw.uzh.ch/artwork/gnd-1067208666
object,E22_Human-Made_Object,gnd-1067980369,https://hwgw.uzh.ch/artwork/gnd-1067980369
object,E22_Human-Made_Object,gnd-1067980725,https://hwgw.uzh.ch/artwork/gnd-1067980725
object,E22_Human-Made_Object,gnd-1068177837,https://hwgw.uzh.ch/artwork/gnd-1068177837
object,E22_Human-Made_Object,gnd-1068179104,https://hwgw.uzh.ch/artwork/gnd-1068179104
object,E22_Human-Made_Object,gnd-1068185473,https://hwgw.uzh.ch/artwork/gnd-1068185473
object,E22_Human-Made_Object,gnd-1068193131,https://hwgw.uzh.ch/artwork/gnd-1068193131
object,E22_Human-Made_Object,gnd-1068241314,https://hwgw.uzh.ch/artwork/gnd-1068241314
object,E22_Human-Made_Object,gnd-1068472324,https://hwgw.uzh.ch/artwork/gnd-1068472324
object,E22_Human-Made_Object,gnd-1068472847,https://hwgw.uzh.ch/artwork/gnd-1068472847
object,E22_Human-Made_Object,gnd-1068473274,https://hwgw.uzh.ch/artwork/gnd-1068473274
object,E22_Human-Made_Object,gnd-1068641029,https://hwgw.uzh.ch/artwork/gnd-1068641029
object,E22_Human-Made_Object,gnd-1068650850,https://hwgw.uzh.ch/artwork/gnd-1068650850
object,E22_Human-Made_Object,gnd-1068781718,https://hwgw.uzh.ch/artwork/gnd-1068781718
object,E22_Human-Made_Object,gnd-1068782072,https://hwgw.uzh.ch/artwork/gnd-1068782072
object,E22_Human-Made_Object,gnd-1068782447,https://hwgw.uzh.ch/artwork/gnd-1068782447
object,E22_Human-Made_Object,gnd-1068782749,https://hwgw.uzh.ch/artwork/gnd-1068782749
object,E22_Human-Made_Object,gnd-1068783311,https://hwgw.uzh.ch/artwork/gnd-1068783311
object,E22_Human-Made_Object,gnd-1068783753,https://hwgw.uzh.ch/artwork/gnd-1068783753
object,E22_Human-Made_Object,gnd-1068784040,https://hwgw.uzh.ch/artwork/gnd-1068784040
object,E22_Human-Made_Object,gnd-1068784504,https://hwgw.uzh.ch/artwork/gnd-1068784504
object,E22_Human-Made_Object,gnd-1068786086,https://hwgw.uzh.ch/artwork/gnd-1068786086
object,E22_Human-Made_Object,gnd-1068787090,https://hwgw.uzh.ch/artwork/gnd-1068787090
object,E22_Human-Made_Object,gnd-1068787481,https://hwgw.uzh.ch/artwork/gnd-1068787481
object,E22_Human-Made_Object,gnd-1068787775,https://hwgw.uzh.ch/artwork/gnd-1068787775
object,E22_Human-Made_Object,gnd-1068883456,https://hwgw.uzh.ch/artwork/gnd-1068883456
object,E22_Human-Made_Object,gnd-1068883995,https://hwgw.uzh.ch/artwork/gnd-1068883995
object,E22_Human-Made_Object,gnd-1068884711,https://hwgw.uzh.ch/artwork/gnd-1068884711
object,E22_Human-Made_Object,gnd-1068885130,https://hwgw.uzh.ch/artwork/gnd-1068885130
object,E22_Human-Made_Object,gnd-1068885610,https://hwgw.uzh.ch/artwork/gnd-1068885610
object,E22_Human-Made_Object,gnd-1068886099,https://hwgw.uzh.ch/artwork/gnd-1068886099
object,E22_Human-Made_Object,gnd-1068888849,https://hwgw.uzh.ch/artwork/gnd-1068888849
object,E22_Human-Made_Object,gnd-1068889144,https://hwgw.uzh.ch/artwork/gnd-1068889144
object,E22_Human-Made_Object,gnd-1069076996,https://hwgw.uzh.ch/artwork/gnd-1069076996
object,E22_Human-Made_Object,gnd-1069086401,https://hwgw.uzh.ch/artwork/gnd-1069086401
object,E22_Human-Made_Object,gnd-1069086789,https://hwgw.uzh.ch/artwork/gnd-1069086789
object,E22_Human-Made_Object,gnd-1069087610,https://hwgw.uzh.ch/artwork/gnd-1069087610
